# curie_map:
#   inherit: https://openinherit.org/schemas/
#   uk_w_common_law: https://openinherit.org/legal-substrate/uk-eng-wales/
#   scots_law: https://openinherit.org/legal-substrate/scotland/
#   muslim_waqf: https://openinherit.org/legal-substrate/muslim-waqf/
#   hindu_huf: https://openinherit.org/legal-substrate/hindu-huf/
#   bfo: http://purl.obolibrary.org/obo/BFO_
#   prov: http://www.w3.org/ns/prov#
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   orcid: https://orcid.org/
# mapping_set_id: https://openinherit.org/mappings/trusts-beneficial-interest-q039-mu-eta
# mapping_set_version: '1.0'
# mapping_set_title: Trusts.BeneficialInterest universal classifier mapping_set (Q-039/Q-T3 mu-eta-star) - THIRD foundational Trusts-module class
# license: https://creativecommons.org/publicdomain/zero/1.0/
# creator_id: https://openinherit.org
# mapping_set_description: SSSOM mapping_set bridging Q-039/Q-T3 mu-eta-star universal BeneficialInterestKindScheme 7 + InterestVestingStatusScheme 3 + certainty_of_objects_check_passed boolean + certainty_test_type to UK&W (Hudson Equity and Trusts §3.5 + McPhail v Doulton [1971] AC 424 + Re Gulbenkian [1968] Ch 126 + IRC v Broadway Cottages [1955] Ch 20 + Saunders v Vautier (1841) 4 Beav 115 + Charitable Trusts Act 2011 + cy-près + Schmidt v Rosewood [2003] UKPC 26) + Scotland (Trusts Scotland 1921+2024) + Hindu HUF coparcener + Muslim waqf mawqufun-alayhi. FIFTH substantive Q under v3.17; FIFTH L2 inheritance; EIGHTH cascade-Q file under v3.16; SECOND Q under MQ-009 ε+δ conventions.
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence
inherit:fixed-share	fixed-share	skos:exactMatch	uk_w_common_law:irc_v_broadway_cottages_1955_complete_list_test	UK&W IRC v Broadway Cottages [1955] Ch 20 — complete-list test for fixed-trust certainty of objects	semapv:ManualMappingCuration	0.99
inherit:discretionary-class	discretionary-class	skos:exactMatch	uk_w_common_law:mcphail_v_doulton_1971_is_or_is_not_test	UK&W McPhail v Doulton [1971] AC 424 (House of Lords) — is-or-is-not test for discretionary-trust certainty of objects	semapv:ManualMappingCuration	0.99
inherit:discretionary-class	discretionary-class	skos:closeMatch	uk_w_common_law:re_gulbenkian_1968_predecessor_case	UK&W Re Gulbenkian [1968] Ch 126 — predecessor case shaping is-or-is-not test	semapv:ManualMappingCuration	0.95
inherit:future-person	future-person	skos:exactMatch	uk_w_common_law:class_clear_test_unborn_beneficiaries	UK&W class-clear test for future-person/unborn beneficiaries; Hudson §3.5	semapv:ManualMappingCuration	0.95
inherit:bare-trust-call	bare-trust-call	skos:exactMatch	uk_w_common_law:saunders_v_vautier_1841_beneficiary_right_to_call	UK&W Saunders v Vautier (1841) 4 Beav 115 — sui-juris + absolutely-entitled beneficiary entitled to call for trust property	semapv:ManualMappingCuration	0.99
inherit:life-interest	life-interest	skos:exactMatch	uk_w_common_law:ihta_1984_ipdi_interest_in_possession	UK&W IPDI (Interest-in-Possession Disclosable Interest) per IHTA 1984 + FA 2006 pre/post-22-March-2006 distinction	semapv:ManualMappingCuration	0.99
inherit:remainder	remainder	skos:exactMatch	uk_w_common_law:remainderman_after_life_tenant	UK&W remainderman interest after life-tenant; contingent on life-tenant's death	semapv:ManualMappingCuration	0.99
inherit:charitable-purpose	charitable-purpose	skos:exactMatch	uk_w_common_law:charitable_trusts_act_2011_cy_pres	UK&W Charitable Trusts Act 2011 + cy-près doctrine; charitable purpose + public benefit	semapv:ManualMappingCuration	0.99
inherit:vested	vested	skos:exactMatch	uk_w_common_law:vested_interest_presently_enjoyed	UK&W vested interest — presently enjoyed or guaranteed	semapv:ManualMappingCuration	0.99
inherit:contingent	contingent	skos:exactMatch	uk_w_common_law:contingent_interest_condition_precedent	UK&W contingent interest — subject to condition precedent (e.g., attaining age 25)	semapv:ManualMappingCuration	0.99
